t,I,Type,"Type Numerical(A=0, C=1, T=2, G=3)",Blockade_Height
0.22,0.90548,A,0,0.052784
0.11,0.64488,A,0,0.313384
0.27,0.89617,A,0,0.062094
0.39,0.89381,A,0,0.064454
0.33,1.02483,A,0,-0.066566
0.29,0.89622,A,0,0.062044
0.5,0.90885,A,0,0.049414
0.42,0.82952,A,0,0.128744
0.31,0.90003,A,0,0.058234
0.3,0.94295,A,0,0.015314
0.33,1.01871,A,0,-0.060446
0.3,1.02277,A,0,-0.064506
0.4199,0.87172,A,0,0.086544
0.63,0.84624,A,0,0.112024
0.4,0.96323,A,0,-0.004966
0.52,0.91821,A,0,0.040054
0.5,0.91139,A,0,0.046874
0.79,0.90319,A,0,0.055074
0.21,0.97474,A,0,-0.016476
0.32,0.90622,A,0,0.052044
0.4299,0.97705,A,0,-0.018786
0.3401,0.97607,A,0,-0.017806
0.8001,0.79287,A,0,0.165394
0.6001,0.69742,A,0,0.260844
0.5701,0.92364,A,0,0.034624
0.55,0.62391,A,0,0.334354
0.8,0.83145,A,0,0.126814
0.22,0.95058,A,0,0.007684
0.5099,0.73928,A,0,0.218984
0.1301,0.70077,A,0,0.257494
0.3,0.80291,A,0,0.155354
0.3702,0.87822,A,0,0.080044
0.25,0.86564,A,0,0.092624
0.3001,0.93192,A,0,0.026344
0.2399,1.00656,A,0,-0.048296
0.19,0.96376,A,0,-0.005496
0.2598,0.97258,A,0,-0.014316
0.2002,0.90976,A,0,0.048504
0.6198,0.59892,A,0,0.359344
0.4202,0.80593,A,0,0.152334
0.25,0.83642,A,0,0.121844
0.27,0.83832,A,0,0.119944
0.38,0.84498,A,0,0.113284
0.2901,0.78027,A,0,0.177994
0.2302,0.85654,A,0,0.101724
0.7698,0.71256,A,0,0.245704
0.1999,0.83258,A,0,0.125684
0.1502,0.59485,A,0,0.363414
0.33,0.76408,A,0,0.194184
0.8202,0.84537,A,0,0.112894
0.6099,0.83516,A,0,0.123104
0.0502,0.54841,A,0,0.409854
0.6998,0.73382,A,0,0.224444
0.3599,0.77003,A,0,0.188234
0.46,0.83547,A,0,0.122794
0.3199,0.86412,A,0,0.094144
0.24,0.63088,A,0,0.327384
0.9399,0.75231,A,0,0.205954
1.15,0.82569,A,0,0.132574
0.8701,0.82476,A,0,0.133504
0.1401,0.64859,A,0,0.309674
0.9399,0.76592,A,0,0.192344
0.8799,0.62536,A,0,0.332904
0.0698,0.60724,A,0,0.351024
0.07,0.63262,A,0,0.325644
0.13,0.73458,A,0,0.223684
0.1699,0.74325,A,0,0.215014
0.3498,0.81142,A,0,0.146844
0.18,0.95168,A,0,0.006584
0.2602,0.81764,A,0,0.140624
0.0502,0.54803,A,0,0.410234
0.19,0.79719,A,0,0.161074
0.29,0.80817,A,0,0.150094
0.34,0.84565,A,0,0.112614
0.49,0.728,A,0,0.230264
0.54,0.83121,A,0,0.127054
0.25,0.88526,A,0,0.073004
0.3395,0.84616,A,0,0.112104
0.1201,0.70458,A,0,0.253684
0.25,0.76121,A,0,0.197054
0.449,0.8293,A,0,0.128964
0.2095,0.87268,A,0,0.085584
0.2207,0.66801,A,0,0.290254
0.591,0.82545,A,0,0.132814
0.2705,0.8422,A,0,0.116064
0.5995,0.71761,A,0,0.240654
0.7305,0.74189,A,0,0.216374
0.76,0.87218,A,0,0.086084
0.5304,0.81484,A,0,0.143424
0.0607,0.60742,A,0,0.350844
0.5602,0.77146,A,0,0.186804
0.2595,0.85911,A,0,0.099154
0.6795,0.77175,A,0,0.186514
0.3095,0.84402,A,0,0.114244
0.2693,0.90512,A,0,0.053144
0.3705,0.7943,A,0,0.163964
0.4103,0.70245,A,0,0.255814
0.2599,0.78836,A,0,0.169904
0.569,0.73438,A,0,0.223884
0.8605,0.77267,A,0,0.185594
0.2997,0.72525,A,0,0.233014
0.71,0.76427,A,0,0.193994
0.6907,0.9216,A,0,0.036664
0.5598,0.66133,A,0,0.296934
0.489,0.85225,A,0,0.106014
0.6506,0.86927,A,0,0.088994
0.71,1.03102,A,0,-0.072756
0.75,0.69642,A,0,0.261844
0.431,0.5761,A,0,0.382164
0.6795,0.60682,A,0,0.351444
0.75,0.65336,A,0,0.304904
0.92,0.65515,A,0,0.303114
0.4707,0.74566,A,0,0.212604
0.67,0.677,A,0,0.281264
0.1405,0.54264,A,0,0.415624
0.0497,0.5155,A,0,0.442764
0.0605,0.54031,A,0,0.417954
0.4305,0.56456,A,0,0.393704
0.1407,0.93589,A,0,0.022374
0.5606,0.81062,A,0,0.147644
0.25,0.83899,A,0,0.119274
0.25,0.89911,A,0,0.059154
0.2402,0.99688,A,0,-0.038616
0.329,0.84214,A,0,0.116124
0.1395,0.58359,A,0,0.374674
0.2305,0.89149,A,0,0.066774
0.4295,0.79456,A,0,0.163704
0.5606,0.88234,A,0,0.075924
0.0702,0.62355,A,0,0.334714
0.02,0.35371,C,1,0.604554
0.2,0.67632,C,1,0.281944
0.72,0.74974,C,1,0.208524
0.2,0.42393,C,1,0.534334
0.3,0.39823,C,1,0.560034
0.07,0.44864,C,1,0.509624
0.72,0.79671,C,1,0.161554
0.24,0.40099,C,1,0.557274
0.07,0.41629,C,1,0.541974
0.26,0.42645,C,1,0.531814
0.05,0.3968,C,1,0.561464
0.18,0.45936,C,1,0.498904
0.1,0.392,C,1,0.566264
0.2,0.39743,C,1,0.560834
0.58,0.76294,C,1,0.195324
0.25,0.44396,C,1,0.514304
0.42,0.53273,C,1,0.425534
0.22,0.42303,C,1,0.535234
0.13,0.42688,C,1,0.531384
0.08,0.39149,C,1,0.566774
0.05,0.38653,C,1,0.571734
0.25,0.39889,C,1,0.559374
0.07,0.39824,C,1,0.560024
0.05,0.39097,C,1,0.567294
0.06,0.36618,C,1,0.592084
0.09,0.45794,C,1,0.500324
0.05,0.41269,C,1,0.545574
0.05,0.44613,C,1,0.512134
0.05,0.3725,C,1,0.585764
0.06,0.38841,C,1,0.569854
0.05,0.39734,C,1,0.560924
0.11,0.40229,C,1,0.555974
0.33,0.66486,C,1,0.293404
0.53,0.69707,C,1,0.261194
0.05,0.4066,C,1,0.551664
0.15,0.40449,C,1,0.553774
0.05,0.38269,C,1,0.575574
0.06,0.38834,C,1,0.569924
0.41,0.59945,C,1,0.358814
0.54,0.69184,C,1,0.266424
0.08,0.38067,C,1,0.577594
0.19,0.37188,C,1,0.586384
0.18,0.39183,C,1,0.566434
0.1,0.40385,C,1,0.554414
0.42,0.70597,C,1,0.252294
0.06,0.4116,C,1,0.546664
0.06,0.39396,C,1,0.564304
1.6101,0.55411,C,1,0.404154
0.5801,0.43186,C,1,0.526404
0.25,0.44709,C,1,0.511174
0.05,0.42201,C,1,0.536254
0.5601,0.47205,C,1,0.486214
0.12,0.37081,C,1,0.587454
0.06,0.43029,C,1,0.527974
0.3699,0.43879,C,1,0.519474
0.8799,0.6308,C,1,0.327464
0.24,0.4247,C,1,0.533564
0.59,0.44377,C,1,0.514494
0.5,0.7179,C,1,0.240364
0.47,0.77461,C,1,0.183654
0.0799,0.37415,C,1,0.584114
0.38,0.75222,C,1,0.206044
0.1499,0.39917,C,1,0.559094
0.4499,0.47377,C,1,0.484494
0.65,0.43725,C,1,0.521014
0.1,0.37438,C,1,0.583884
0.4299,0.43175,C,1,0.526514
0.63,0.43236,C,1,0.525904
0.27,0.4516,C,1,0.506664
0.37,0.46982,C,1,0.488444
0.29,0.43148,C,1,0.526784
0.8901,0.47708,C,1,0.481184
0.0501,0.37266,C,1,0.585604
0.61,0.48109,C,1,0.477174
0.5599,0.43381,C,1,0.524454
0.0699,0.42113,C,1,0.537134
0.1102,0.46357,C,1,0.494694
0.57,0.43111,C,1,0.527154
0.7898,0.4354,C,1,0.522864
0.0601,0.38929,C,1,0.568974
0.5098,0.43501,C,1,0.523254
0.8599,0.45787,C,1,0.500394
0.0698,0.41558,C,1,0.542684
0.8202,0.49228,C,1,0.465984
0.6299,0.43063,C,1,0.527634
0.73,0.50493,C,1,0.453334
0.6799,0.50476,C,1,0.453504
0.9698,0.65798,C,1,0.300284
0.09,0.46233,C,1,0.495934
0.6799,0.45477,C,1,0.503494
0.9002,0.49858,C,1,0.459684
0.0699,0.38674,C,1,0.571524
0.0699,0.41003,C,1,0.548234
0.46,0.65617,C,1,0.302094
0.08,0.45379,C,1,0.504474
0.4098,0.48045,C,1,0.477814
0.45,0.44689,C,1,0.511374
0.06,0.3904,C,1,0.567864
0.5299,0.43001,C,1,0.528254
0.4698,0.46566,C,1,0.492604
0.0502,0.43892,C,1,0.519344
0.89,0.47872,C,1,0.479544
0.08,0.41449,C,1,0.543774
0.4702,0.46617,C,1,0.492094
0.5502,0.44258,C,1,0.515684
0.7399,0.74403,C,1,0.214234
0.4902,0.43323,C,1,0.525034
0.7802,0.50957,C,1,0.448694
0.73,0.45283,C,1,0.505434
0.3802,0.43692,C,1,0.521344
0.2196,0.48874,C,1,0.469524
0.0895,0.41355,C,1,0.544714
0.8195,0.46154,C,1,0.496724
